"uuid","title","url","publication_name","publication_image_url","date","sentiment","publication_location","amplification","author"
"af871787-d077-48bb-bb9f-2449c943f66e","African NFT Collection Masks of Ether Is a Revolution","https://www.argus-press.com/news/national/article_74600108-1a8d-534c-b53f-53c0f35848aa.html","The Argus-Press","","2021-10-05 01:49:41","positive","United States","0",""
"86a79a96-c78d-4fb0-ab40-3973bac4b28b","African NFT Collection Masks of Ether Is a Revolution","https://www.thedailytimes.com/business/african-nft-collection-masks-of-ether-is-a-revolution/article_1427c430-7cb9-59b2-a69a-b44bacaadd40.html","Maryville Daily Times","","2021-10-05 01:49:41","positive","United States","0",""
"593664c1-c89d-433d-afb9-e7fbc4033df5","African NFT Collection Masks of Ether Is a Revolution","https://www.yumasun.com/african-nft-collection-masks-of-ether-is-a-revolution/article_78f8e231-064e-5af0-8390-4f3dea6ca51a.html","Yuma Sun","","2021-10-05 01:49:41","positive","United States","0",""
"16ad06f6-d361-465d-9240-b5e76020cabf","African NFT Collection Masks of Ether Is a Revolution","https://www.citizentribune.com/news/business/african-nft-collection-masks-of-ether-is-a-revolution/article_e9a8956c-5de6-5ba8-81f5-c0a2e19df525.html","Citizen Tribune","","2021-10-05 01:49:41","positive","United States","0",""
"28d425c7-e45f-49fa-bb09-734ac73162f0","African NFT Collection Masks of Ether Is a Revolution","https://www.shorelinemedia.net/ludington_daily_news/business/african-nft-collection-masks-of-ether-is-a-revolution/article_c4708bb2-72c7-533f-bc90-515fc3d58bcb.html","Ludington Daily News","","2021-10-05 01:49:41","positive","United States","0",""
"2886dbc2-6129-4f39-a62e-d5ea2898ff03","African NFT Collection Masks of Ether Is a Revolution","https://www.tullahomanews.com/news/business/african-nft-collection-masks-of-ether-is-a-revolution/article_6e48df9d-257a-5fd2-812d-ffd8e80d0d4f.html","Tullahoma News","","2021-10-05 01:49:41","positive","United States","0","Bill Carey"
"e841b096-ea70-4ff8-85ac-c3348cbcfd24","African NFT Collection Masks of Ether Is a Revolution","https://www.manchestertimes.com/news/business/african-nft-collection-masks-of-ether-is-a-revolution/article_9943436a-b295-5c2f-af62-fa8945f55ffe.html","Manchester Times","","2021-10-05 01:49:41","positive","United States","0","John Coffelt"
"913b66c1-2d60-4c3d-ab8d-f7c9dd8cab35","African NFT Collection Masks of Ether Is a Revolution","https://www.valdostadailytimes.com/news/business/african-nft-collection-masks-of-ether-is-a-revolution/article_3269f995-eade-52da-9302-5520c672bd9c.html","The Valdosta Daily Times","","2021-10-05 01:49:41","positive","United States","0",""
"eedc8e87-0fe7-4127-a7ab-6f0292feb7f9","African NFT Collection Masks of Ether Is a Revolution","https://www.heraldchronicle.com/news/business/african-nft-collection-masks-of-ether-is-a-revolution/article_0873b138-86d2-5d15-b45c-c43a8cd5fc5a.html","Herald Chronicle","","2021-10-05 01:49:41","positive","United States","0",""
"46009884-2c83-47dc-ba3c-4337183d36ce","African NFT Collection Masks of Ether Is a Revolution","https://www.bakersfield.com/ap/news/african-nft-collection-masks-of-ether-is-a-revolution/article_ece1f0cf-72c5-5738-93f8-7fe74d528b2d.html","Bakersfield.com","","2021-10-05 01:49:41","positive","United States","0","As community healthcare providers"
"16c53b70-7492-437b-9526-af227036a95c","African NFT Collection Masks of Ether Is a Revolution","https://www.dailyrecordnews.com/ap_news/business/african-nft-collection-masks-of-ether-is-a-revolution/article_f5060bda-2f7a-50d8-821c-8765dca267fe.html","Ellensburg Daily Record","","2021-10-05 01:49:41","positive","United States","0",""
"a10235f7-821d-4701-a215-6cc5bd578830","African NFT Collection Masks of Ether Is a Revolution","https://www.marshallnewsmessenger.com/ap/business/african-nft-collection-masks-of-ether-is-a-revolution/article_360c3e7b-87cc-5278-8587-9fbc6f462162.html","Marshall News Messenger","","2021-10-05 01:49:41","positive","United States","0",""
"6c139878-1c87-42c7-add3-0dbcc585f511","African NFT Collection Masks of Ether Is a Revolution","https://www.register-herald.com/region/african-nft-collection-masks-of-ether-is-a-revolution/article_4a020b18-c51a-5ba1-9859-7711599e600a.html","Beckley Register-Herald","","2021-10-05 01:49:41","positive","United States","0",""
"c70d826d-a8a1-4066-9193-56c1686feb0c","African NFT Collection Masks of Ether Is a Revolution","https://www.communitynewspapergroup.com/oelwein_daily_register/business/national/african-nft-collection-masks-of-ether-is-a-revolution/article_f949559c-a740-5c03-8c24-b9cefec52184.html","Daily Register","","2021-10-05 01:49:41","positive","United States","0",""
"40c5dcdc-1cb0-4b00-a74e-04abd3121e68","African NFT Collection Masks of Ether Is a Revolution","https://www.kentuckynewera.com/technology/article_d458f31a-acd6-5a52-80c0-5fa47d11f60a.html","Kentucky New Era","https://analyst-images.cdn.airpr.com/logos/images/013/700/261/thumb/4peF_Xhu_400x400.jpg","2021-10-05 01:49:41","positive","United States","0",""
"d034f705-cfcc-4f0e-b4bf-1d41495644a9","African NFT Collection Masks of Ether Is a Revolution","https://www.heraldstandard.com/business_ap/african-nft-collection-masks-of-ether-is-a-revolution/article_1ea7ec2a-3693-5cd4-b6d3-46a9fe06d293.html","Herald-Standard","","2021-10-05 01:49:41","positive","United States","0","Subscriber Rewards"
"8186a13d-a36a-4d13-8fa0-e0c927ee177e","African NFT Collection Masks of Ether Is a Revolution","https://www.theprogressnews.com/business/national/african-nft-collection-masks-of-ether-is-a-revolution/article_c2a5cf4d-4118-58e5-aa70-7073273d6f3f.html","TheProgressNews.com","","2021-10-05 01:49:41","positive","United States","0",""
"a965b8fd-453d-409a-81b4-023c08b81f08","African NFT Collection Masks of Ether Is a Revolution","https://www.thecourierexpress.com/business/african-nft-collection-masks-of-ether-is-a-revolution/article_5136d511-dcf4-5605-9a87-04d9ce80f929.html","DuBois Courier-Express","","2021-10-05 01:49:41","positive","United States","0",""
"8fc192d9-cd26-42c6-ab65-09a173716a3a","African NFT Collection Masks of Ether Is a Revolution","https://www.elkvalleytimes.com/news/business/african-nft-collection-masks-of-ether-is-a-revolution/article_4f024f27-6497-5c42-8b1c-690923da0413.html","Elk Valley Times","","2021-10-05 01:49:41","positive","United States","0","Elk Valley Times"
"0df75747-1210-4dff-aba1-d4bc64460a20","African NFT Collection Masks of Ether Is a Revolution","https://www.postregister.com/businessreport/technology/african-nft-collection-masks-of-ether-is-a-revolution/article_cf89af42-69f6-568a-a354-f7ffa7d50424.html","Post Register","","2021-10-05 01:49:41","positive","United States","0",""
"2148beb6-5183-4395-b3e8-801eba663ae8","African NFT Collection Masks of Ether Is a Revolution","https://www.chronicle-tribune.com/news/regional/african-nft-collection-masks-of-ether-is-a-revolution/article_7a58cda6-efd0-57f1-9240-255839a3ec7a.html","Marion Chronicle Tribune","","2021-10-05 01:49:36","positive","United States","0",""
"7b78bfc1-dcc5-4b3d-b7da-3f69e3c7a0bb","African NFT Collection Masks of Ether Is a Revolution","https://www.joplinglobe.com/region/national_business/african-nft-collection-masks-of-ether-is-a-revolution/article_baa89b78-8f6c-5b66-911f-7990b12f6b71.html","Joplin Globe","","2021-10-05 01:49:36","positive","United States","0",""
"977381f5-d7e1-4dc8-a042-ce5d19329706","African NFT Collection Masks of Ether Is a Revolution","https://www.ftimes.com/news/wire/african-nft-collection-masks-of-ether-is-a-revolution/article_23148b91-c88d-5eb8-937a-69af30391c6a.html","Frankfort Times","","2021-10-05 01:49:36","positive","United States","0",""
"74f02a54-e215-4c82-b44d-fc8582685de9","African NFT Collection Masks of Ether Is a Revolution","https://www.fltimes.com/business/national/african-nft-collection-masks-of-ether-is-a-revolution/article_1f07413f-600b-5a77-a106-c6c4de6ff434.html","Finger Lakes Times","","2021-10-05 01:49:36","positive","United States","0",""
